indx,pl_name,hostname,sys_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,st_spectype,st_rad,st_mass,sy_dist,disc_facility
775,Kepler-251 c,Kepler-251,Kepler-251,1,4,Transit,2014,0.122,2.77,8.1,0.0,,0.89,0.95,924.625,Kepler
776,Kepler-251 d,Kepler-251,Kepler-251,1,4,Transit,2014,0.182,2.77,8.1,0.0,,0.89,0.95,924.625,Kepler
777,Kepler-251 e,Kepler-251,Kepler-251,1,4,Transit,2014,0.404,2.77,8.1,0.0,,0.89,0.95,924.625,Kepler
778,Kepler-256 b,Kepler-256,Kepler-256,1,4,Transit,2014,0.027,1.59,3.15,0.0,,1.3,0.97,1026.43,Kepler
779,Kepler-256 c,Kepler-256,Kepler-256,1,4,Transit,2014,0.045,2.15,5.27,0.0,,1.3,0.97,1026.43,Kepler
780,Kepler-256 d,Kepler-256,Kepler-256,1,4,Transit,2014,0.064,2.48,6.71,0.0,,1.3,0.97,1026.43,Kepler
781,Kepler-256 e,Kepler-256,Kepler-256,1,4,Transit,2014,0.096,2.35,6.12,0.0,,1.3,0.97,1026.43,Kepler
782,Kepler-26 b,Kepler-26,Kepler-26,1,4,Transit,2011,0.08551,2.78,5.12,0.0,M0 V,0.51,0.54,335.307,Kepler
783,Kepler-26 c,Kepler-26,Kepler-26,1,4,Transit,2011,0.10725,2.72,6.2,0.0,M0 V,0.51,0.54,335.307,Kepler
784,Kepler-26 d,Kepler-26,Kepler-26,1,4,Transit,2014,0.039,1.07,1.24,0.0,M0 V,0.57,0.62,335.307,Kepler
785,Kepler-26 e,Kepler-26,Kepler-26,1,4,Transit,2014,0.22,2.41,6.39,0.0,M0 V,0.57,0.62,335.307,Kepler
786,Kepler-265 b,Kepler-265,Kepler-265,1,4,Transit,2014,0.069,1.86,4.12,0.0,,1.1,0.98,1280.25,Kepler
787,Kepler-265 c,Kepler-265,Kepler-265,1,4,Transit,2014,0.127,2.63,7.41,0.0,,1.1,0.98,1280.25,Kepler
788,Kepler-265 d,Kepler-265,Kepler-265,1,4,Transit,2014,0.236,2.49,6.76,0.0,,1.1,0.98,1280.25,Kepler
789,Kepler-265 e,Kepler-265,Kepler-265,1,4,Transit,2014,0.319,2.59,7.22,0.0,,1.1,0.98,1280.25,Kepler
790,Kepler-282 b,Kepler-282,Kepler-282,1,4,Transit,2014,0.082,1.01,1.01,0.0,,0.9,0.79,1337.61,Kepler
791,Kepler-282 c,Kepler-282,Kepler-282,1,4,Transit,2014,0.106,1.2,1.87,0.0,,0.9,0.79,1337.61,Kepler
792,Kepler-282 d,Kepler-282,Kepler-282,1,4,Transit,2013,0.154,2.46,61.0,0.0,,0.89,0.97,1337.61,Kepler
793,Kepler-282 e,Kepler-282,Kepler-282,1,4,Transit,2013,0.2269,3.1,56.2,0.0,,0.89,0.97,1337.61,Kepler
794,Kepler-286 b,Kepler-286,Kepler-286,1,4,Transit,2014,0.027,1.24,2.07,0.0,,0.86,0.96,1226.85,Kepler
795,Kepler-286 c,Kepler-286,Kepler-286,1,4,Transit,2014,0.042,1.37,2.45,0.0,,0.86,0.96,1226.85,Kepler
796,Kepler-286 d,Kepler-286,Kepler-286,1,4,Transit,2014,0.061,1.33,2.33,0.0,,0.86,0.96,1226.85,Kepler
797,Kepler-286 e,Kepler-286,Kepler-286,1,4,Transit,2014,0.176,1.77,3.78,0.0,,0.86,0.96,1226.85,Kepler
798,Kepler-299 b,Kepler-299,Kepler-299,1,4,Transit,2014,0.04,1.32,2.3,0.0,,1.03,0.95,1052.24,Kepler
799,Kepler-299 c,Kepler-299,Kepler-299,1,4,Transit,2014,0.07,2.65,7.51,0.0,,1.03,0.95,1052.24,Kepler
800,Kepler-299 d,Kepler-299,Kepler-299,1,4,Transit,2014,0.118,1.86,4.12,0.0,,1.03,0.95,1052.24,Kepler
801,Kepler-299 e,Kepler-299,Kepler-299,1,4,Transit,2014,0.22,1.87,4.16,0.0,,1.03,0.95,1052.24,Kepler
802,Kepler-304 b,Kepler-304,Kepler-304,1,4,Transit,2014,0.039,2.86,8.55,0.0,,0.69,0.8,434.684,Kepler
803,Kepler-304 c,Kepler-304,Kepler-304,1,4,Transit,2014,0.054,2.17,5.35,0.0,,0.69,0.8,434.684,Kepler
804,Kepler-304 d,Kepler-304,Kepler-304,1,4,Transit,2014,0.08,2.75,8.0,0.0,,0.69,0.8,434.684,Kepler
805,Kepler-304 e,Kepler-304,Kepler-304,1,4,Transit,2016,0.0232,1.2,1.87,0.0,,0.73,0.8,434.684,Kepler
806,Kepler-305 b,Kepler-305,Kepler-305,1,4,Transit,2013,0.0571,3.6,10.5,0.0,,0.8,0.76,868.477,Kepler
807,Kepler-305 c,Kepler-305,Kepler-305,1,4,Transit,2013,0.0752,3.3,6.0,0.0,,0.8,0.76,868.477,Kepler
808,Kepler-305 d,Kepler-305,Kepler-305,1,4,Transit,2014,0.121,2.71,9.1,0.0,,0.79,0.85,868.477,Kepler
809,Kepler-305 e,Kepler-305,Kepler-305,1,4,Transit,2020,0.0399,1.794,3.87,0.0,,0.83,0.82,868.477,Kepler
810,Kepler-306 b,Kepler-306,Kepler-306,1,4,Transit,2014,0.05,1.52,2.92,0.0,,0.72,0.81,775.679,Kepler
811,Kepler-306 c,Kepler-306,Kepler-306,1,4,Transit,2014,0.067,2.35,6.12,0.0,,0.72,0.81,775.679,Kepler
812,Kepler-306 d,Kepler-306,Kepler-306,1,4,Transit,2014,0.12,2.47,6.66,0.0,,0.72,0.81,775.679,Kepler
813,Kepler-306 e,Kepler-306,Kepler-306,1,4,Transit,2014,0.227,2.27,5.77,0.0,,0.72,0.81,775.679,Kepler
814,Kepler-324 b,Kepler-324,Kepler-324,1,4,Transit,2014,0.05,1.14,1.55,0.0,,0.84,0.87,501.574,Kepler
815,Kepler-324 c,Kepler-324,Kepler-324,1,4,Transit,2014,0.26,3.15,10.1,0.0,,0.84,0.87,501.574,Kepler
816,Kepler-324 e,Kepler-324,Kepler-324,1,4,Transit,2021,0.1074,2.039,4.81,0.0,,0.83,0.84,501.574,Kepler
817,Kepler-338 b,Kepler-338,Kepler-338,1,4,Transit,2014,0.117,2.44,30.6,0.04,,1.74,1.2,552.798,Kepler
818,Kepler-338 c,Kepler-338,Kepler-338,1,4,Transit,2014,0.172,2.34,6.08,0.03,,1.74,1.2,552.798,Kepler
819,Kepler-338 d,Kepler-338,Kepler-338,1,4,Transit,2014,0.257,3.0,9.27,0.03,,1.74,1.2,552.798,Kepler
820,Kepler-338 e,Kepler-338,Kepler-338,1,4,Transit Timing Variations,2014,0.0893,1.56,8.5,0.05,,1.74,1.14,552.798,Kepler
821,Kepler-341 b,Kepler-341,Kepler-341,1,4,Transit,2014,0.06,1.18,1.76,0.0,,1.02,1.0,1047.03,Kepler
822,Kepler-341 c,Kepler-341,Kepler-341,1,4,Transit,2014,0.08,1.7,3.53,0.0,,1.02,1.0,1047.03,Kepler
823,Kepler-341 d,Kepler-341,Kepler-341,1,4,Transit,2014,0.182,1.85,4.08,0.0,,1.02,1.0,1047.03,Kepler
824,Kepler-341 e,Kepler-341,Kepler-341,1,4,Transit,2014,0.242,1.99,4.62,0.0,,1.02,1.0,1047.03,Kepler
825,Kepler-342 b,Kepler-342,Kepler-342,1,4,Transit,2014,0.128,2.25,5.69,0.0,,1.47,1.26,781.611,Kepler
826,Kepler-342 c,Kepler-342,Kepler-342,1,4,Transit,2014,0.185,1.96,4.5,0.0,,1.47,1.26,781.611,Kepler
827,Kepler-342 d,Kepler-342,Kepler-342,1,4,Transit,2014,0.242,2.49,6.76,0.0,,1.47,1.26,781.611,Kepler
828,Kepler-342 e,Kepler-342,Kepler-342,1,4,Transit,2016,0.0293,0.88,0.615,0.0,,1.34,1.26,781.611,Kepler
829,Kepler-37 b,Kepler-37,Kepler-37,1,4,Transit,2013,0.1003,0.296,3.1783,0.0,,0.79,0.87,63.9207,Kepler
830,Kepler-37 c,Kepler-37,Kepler-37,1,4,Transit,2013,0.1368,0.75,12.0,0.09,,0.77,0.8,63.9207,Kepler
831,Kepler-37 d,Kepler-37,Kepler-37,1,4,Transit,2013,0.2076,1.94,12.2,0.15,,0.77,0.8,63.9207,Kepler
832,Kepler-37 e,Kepler-37,Kepler-37,1,4,Transit Timing Variations,2014,0.246,0.37,0.0275,0.0,,0.77,0.8,63.9207,Kepler
833,Kepler-402 b,Kepler-402,Kepler-402,1,4,Transit,2014,0.051,1.22,1.98,0.0,,1.26,1.15,625.339,Kepler
834,Kepler-402 c,Kepler-402,Kepler-402,1,4,Transit,2014,0.068,1.56,3.05,0.0,,1.26,1.15,625.339,Kepler
835,Kepler-402 d,Kepler-402,Kepler-402,1,4,Transit,2014,0.087,1.38,2.48,0.0,,1.26,1.15,625.339,Kepler
836,Kepler-402 e,Kepler-402,Kepler-402,1,4,Transit,2014,0.102,1.46,2.73,0.0,,1.26,1.15,625.339,Kepler
837,Kepler-48 b,Kepler-48,Kepler-48,1,4,Transit,2012,0.0528,1.88,3.94,0.0,,0.89,0.88,306.738,Kepler
838,Kepler-48 c,Kepler-48,Kepler-48,1,4,Transit,2012,0.0845,2.71,14.61,0.0,,0.89,0.88,306.738,Kepler
839,Kepler-48 d,Kepler-48,Kepler-48,1,4,Transit,2014,0.2279,2.04,7.93,0.0,,0.89,0.88,306.738,Kepler
840,Kepler-48 e,Kepler-48,Kepler-48,1,4,Radial Velocity,2014,,13.4,657.0,,,0.89,0.88,306.738,W. M. Keck Observatory
841,Kepler-49 b,Kepler-49,Kepler-49,1,4,Transit,2012,0.05929,2.72,8.0,0.0,M1 V,0.53,0.55,311.222,Kepler
842,Kepler-49 c,Kepler-49,Kepler-49,1,4,Transit,2012,0.07821,2.55,5.9,0.0,M1 V,0.53,0.55,311.222,Kepler
843,Kepler-49 d,Kepler-49,Kepler-49,1,4,Transit,2014,0.031,1.6,3.19,0.0,M1 V,0.56,0.55,311.222,Kepler
844,Kepler-49 e,Kepler-49,Kepler-49,1,4,Transit,2014,0.116,1.56,3.05,0.0,M1 V,0.56,0.55,311.222,Kepler
845,Kepler-65 b,Kepler-65,Kepler-65,1,4,Transit,2012,0.035,1.42,2.4,0.028,,1.41,1.25,303.728,Kepler
846,Kepler-65 c,Kepler-65,Kepler-65,1,4,Transit,2012,0.068,2.58,5.4,0.02,,1.41,1.25,303.728,Kepler
847,Kepler-65 d,Kepler-65,Kepler-65,1,4,Transit,2012,0.084,1.52,4.14,0.014,,1.41,1.25,303.728,Kepler
848,Kepler-65 e,Kepler-65,Kepler-65,1,4,Radial Velocity,2019,,13.9,260.0,0.283,,1.44,1.25,303.728,W. M. Keck Observatory
849,Kepler-758 b,Kepler-758,Kepler-758,1,4,Transit,2016,0.1019,2.48,6.71,0.0,,1.42,1.16,1502.32,Kepler
850,Kepler-758 c,Kepler-758,Kepler-758,1,4,Transit,2016,0.0547,1.69,3.5,0.0,,1.42,1.16,1502.32,Kepler
